ind_id,species,grid,habitat,effort,year,area,day_1,day_2,day_3,day_4
KDM16/001,Mus cf terricolor,1/GRSLND,Grassland,Grid,2016,Kadumane,1,0,1,0
KDM16/002,Mus cf terricolor,1/GRSLND,Grassland,Grid,2016,Kadumane,1,0,0,0
KDM16/003,Mus cf terricolor,1/GRSLND,Grassland,Grid,2016,Kadumane,1,0,0,0
KDM16/004,Mus cf terricolor,1/GRSLND,Grassland,Grid,2016,Kadumane,1,0,0,1
KDM16/005,Mus cf terricolor,1/GRSLND,Grassland,Grid,2016,Kadumane,1,0,0,1
KDM16/006,Mus cf famulus,1/GRSLND,Grassland,Grid,2016,Kadumane,1,1,0,0
KDM16/007,Mus cf terricolor,1/GRSLND,Grassland,Grid,2016,Kadumane,1,0,1,0
KDM16/008,Mus cf terricolor,1/GRSLND,Grassland,Grid,2016,Kadumane,0,1,1,0
KDM16/009,Mus cf fernandoni,1/GRSLND,Grassland,Grid,2016,Kadumane,0,1,0,0
KDM16/010,Mus cf famulus,1/GRSLND,Grassland,Grid,2016,Kadumane,0,1,1,0
KDM16/011,Crocidura horsfieldii,1/GRSLND,Grassland,Grid,2016,Kadumane,0,1,0,0
KDM16/012,Mus cf terricolor,1/GRSLND,Grassland,Grid,2016,Kadumane,0,1,0,1
KDM16/014,Mus cf famulus,1/GRSLND,Grassland,Grid,2016,Kadumane,0,1,0,1
KDM16/015,Mus cf famulus,1/GRSLND,Grassland,Grid,2016,Kadumane,0,1,1,0
KDM16/016,Mus cf famulus,1/GRSLND,Grassland,Grid,2016,Kadumane,0,1,0,0
KDM16/017,Mus cf famulus,1/GRSLND,Grassland,Grid,2016,Kadumane,0,1,1,0
KDM16/018,Mus cf famulus,1/GRSLND,Grassland,Grid,2016,Kadumane,0,1,0,0
KDM16/019,Crocidura horsfieldii,1/GRSLND,Grassland,Grid,2016,Kadumane,0,0,1,0
KDM16/020,Mus cf terricolor,1/GRSLND,Grassland,Grid,2016,Kadumane,0,0,1,0
KDM16/021,Mus cf terricolor,1/GRSLND,Grassland,Grid,2016,Kadumane,0,0,1,1
KDM16/024,Mus cf terricolor,1/GRSLND,Grassland,Grid,2016,Kadumane,0,0,1,0
KDM16/027,Mus cf terricolor,1/GRSLND,Grassland,Grid,2016,Kadumane,0,0,1,0
KDM16/029,Mus cf terricolor,1/GRSLND,Grassland,Grid,2016,Kadumane,0,0,1,0
KDM16/030,Mus cf terricolor,1/GRSLND,Grassland,Grid,2016,Kadumane,0,0,1,0
KDM16/032,Mus cf terricolor,1/GRSLND,Grassland,Grid,2016,Kadumane,0,0,1,0
KDM16/033,Crocidura horsfieldii,1/GRSLND,Grassland,Grid,2016,Kadumane,0,0,0,1
KDM16/034,Golunda ellioti,1/GRSLND,Grassland,Grid,2016,Kadumane,0,0,0,1
