Host id,Pool-ID,count,type,vectspecies,bart_vec,rick_vec
KDM18/012,KDM18/012M1,40,Mite,Laelapidae 1,0,0
KDM18/013,KDM18/013M1,4,Mite,Laelapidae 1,0,0
KDM18/017,KDM18/017M1,15,Mite,Laelapidae 1,1,1
KDM18/018,KDM18/018M1,1,Mite,Laelapidae 1,0,0
KDM18/065,KDM18/065M1,1,Mite,Laelapidae 1,0,0
KDM18/070,KDM18/070M1,3,Mite,Laelapidae 1,1,0
KDM18/071,KDM18/071M1,1,Mite,Laelapidae 1,0,0
KDM18/072,KDM18/072M1,6,Mite,Laelapidae 1,0,0
KDM18/073,KDM18/073M1,4,Mite,Laelapidae 1,0,0
KDM18/074,KDM18/074M1,2,Mite,Laelapidae 1,0,0
KDM18/078,KDM18/078M1,4,Mite,Laelapidae 1,0,0
KDM18/081,KDM18/081M1,3,Mite,Laelapidae 1,1,0
KDM18/082,KDM18/082M1,4,Mite,Laelapidae 1,0,0
KDM18/086,KDM18/086M1,2,Mite,Laelapidae 1,0,0
KDM18/089,KDM18/089M1,9,Mite,Laelapidae 1,1,0
KDM18/092,KDM18/092M1,9,Mite,Laelapidae 1,1,0
KDM18/099,KDM18/099M1,1,Mite,Laelapidae 1,0,0
KDM18/100,KDM18/100M1,8,Mite,Laelapidae 1,0,0
KDM18/103,KDM18/103M1,31,Mite,Laelapidae 1,1,0
KDM18/104,KDM18/104M1,10,Mite,Laelapidae 1,0,0
KDM18/105,KDM18/105M1,16,Mite,Laelapidae 1,0,0
KDM18/106,KDM18/106M1,6,Mite,Laelapidae 1,0,0
KDM18/122,KDM18/122M1,34,Mite,Laelapidae 1,0,0
KDMK21/058,KDMK21/58M1,30,Mite,Laelapidae 1,0,0
KDMK21/059,KDMK21/59M1,7,Mite,Laelapidae 1,0,0
KDMK21/064,KDMK21/64M1,4,Mite,Laelapidae 1,0,0
KDMK21/078,KDMK21/78M1,2,Mite,Laelapidae 1,0,0
KDMK21/082,KDMK21/82M2,7,Mite,Laelapidae 2,0,0
KDM18/013,KDM18/13T1,1,Tick,Rhipicepalus sp,0,1
KDM18/037,KDM18/37T1,1,Tick,Rhipicepalus sp,0,0
KDM18/040,KDM18/40T1,1,Tick,Rhipicepalus sp,0,0
KDM18/044,KDM18/44T1,1,Tick,Rhipicepalus sp,0,1
KDM18/046,KDM18/46T1,1,Tick,Rhipicepalus sp,0,0
KDM18/049,KDM18/49T1,1,Tick,Rhipicepalus sp,1,1
KDM18/066,KDM18/66T1,2,Tick,Rhipicepalus sp,0,0
KDM18/067,KDM18/67T1,3,Tick,Rhipicepalus sp,1,0
KDM18/070,KDM18/70T1,2,Tick,Rhipicepalus sp,1,0
KDM18/073,KDM18/73T1,1,Tick,Rhipicepalus sp,0,0
KDMK21/001,KDMK21/01T1,20,Tick,Rhipicepalus sp,0,1
KDMK21/002,KDMK21/02T1,17,Tick,Rhipicepalus sp,0,1
KDMK21/009,KDMK21/09T1,2,Tick,Rhipicepalus sp,0,0
KDMK21/014,KDMK21/14T1,1,Tick,Rhipicepalus sp,0,0
KDMK21/018,KDMK21/18T1,1,Tick,Rhipicepalus sp,0,0
KDMK21/030,KDMK21/30T1,1,Tick,Rhipicepalus sp,0,1
KDMK21/038,KDMK21/38T1,3,Tick,Rhipicepalus sp,0,0
KDMK21/040,KDMK21/40T1,3,Tick,Rhipicepalus sp,0,1
KDMK21/042,KDMK21/42T1,3,Tick,Rhipicepalus sp,0,0
KDMK21/043,KDMK21/43T1,2,Tick,Rhipicepalus sp,1,0
KDMK21/053,KDMK21/53T1,1,Tick,Rhipicepalus sp,1,0
KDMK21/058,KDMK21/58T1,8,Tick,Rhipicepalus sp,0,0
KDMK21/062,KDMK21/62T1,2,Tick,Rhipicepalus sp,0,0
KDMK21/064,KDMK21/64T1,3,Tick,Rhipicepalus sp,0,1
KDMK21/078,KDMK21/78T1,1,Tick,Rhipicepalus sp,0,0
KDMK21/086,KDMK21/86T1,1,Tick,Rhipicepalus sp,0,1
KDMK21/102,KDMK21/102T1,2,Tick,Rhipicepalus sp,1,0
KDMK21/107,KDMK21/107T1,1,Tick,Rhipicepalus sp,1,0
KDM18/004,KDM18/04T2,1,Tick,Ixodes sp,0,0
KDM18/005,KDM18/05T2,3,Tick,Ixodes sp,0,0
KDM18/007,KDM18/07T2,5,Tick,Ixodes sp,1,1
KDM18/010,KDM18/10T2,2,Tick,Ixodes sp,1,0
KDM18/013,KDM18/13T2,2,Tick,Ixodes sp,0,0
KDM18/016,KDM18/16T2,4,Tick,Ixodes sp,1,1
KDM18/018,KDM18/18T2,2,Tick,Ixodes sp,0,0
KDM18/019,KDM18/19T2,3,Tick,Ixodes sp,0,0
KDM18/020,KDM18/20T2,6,Tick,Ixodes sp,0,0
KDM18/024,KDM18/24T2,2,Tick,Ixodes sp,1,0
KDM18/027,KDM18/27T2,6,Tick,Ixodes sp,1,1
KDM18/028,KDM18/28T2,2,Tick,Ixodes sp,1,0
KDM18/029,KDM18/29T2,1,Tick,Ixodes sp,1,1
KDM18/030,KDM18/30T2,1,Tick,Ixodes sp,1,0
KDM18/035,KDM18/35T2,1,Tick,Ixodes sp,1,1
KDM18/036,KDM18/36T2,2,Tick,Ixodes sp,1,1
KDM18/038,KDM18/38T2,4,Tick,Ixodes sp,1,1
KDM18/039,KDM18/39T2,5,Tick,Ixodes sp,1,1
KDM18/040,KDM18/40T2,2,Tick,Ixodes sp,0,0
KDM18/043,KDM18/43T2,9,Tick,Ixodes sp,0,1
KDM18/044,KDM18/44T2,3,Tick,Ixodes sp,1,1
KDM18/046,KDM18/46T2,2,Tick,Ixodes sp,0,1
KDM18/048,KDM18/48T2,1,Tick,Ixodes sp,0,0
KDM18/053,KDM18/53T2,8,Tick,Ixodes sp,0,1
KDM18/055,KDM18/55T2,2,Tick,Ixodes sp,0,0
KDM18/057,KDM18/57T2,6,Tick,Ixodes sp,1,0
KDM18/058,KDM18/58T2,5,Tick,Ixodes sp,1,0
KDM18/060,KDM18/60T2,4,Tick,Ixodes sp,1,0
KDM18/061,KDM18/61T2,5,Tick,Ixodes sp,1,0
KDM18/062,KDM18/62T2,5,Tick,Ixodes sp,1,0
KDM18/064,KDM18/64T2,2,Tick,Ixodes sp,1,0
KDM18/065,KDM18/65T2,2,Tick,Ixodes sp,1,0
KDM18/070,KDM18/70T2,1,Tick,Ixodes sp,1,0
KDM18/086,KDM18/86T2,1,Tick,Ixodes sp,0,0
KDMK21/050,KDMK21/50T2,2,Tick,Ixodes sp,0,1
KDMK21/077,KDMK21/77T2,3,Tick,Ixodes sp,0,1
KDM18/013,KDM18/13T3,1,Tick,Haemaphysalis sp,0,0
KDM18/016,KDM18/16T3,1,Tick,Haemaphysalis sp,0,0
KDM18/018,KDM18/18T3,1,Tick,Haemaphysalis sp,0,1
KDM18/021,KDM18/21T3,1,Tick,Haemaphysalis sp,0,0
KDM18/022,KDM18/22T3,2,Tick,Haemaphysalis sp,0,1
KDM18/024,KDM18/24T3,8,Tick,Haemaphysalis sp,0,0
KDM18/025,KDM18/25T3,2,Tick,Haemaphysalis sp,0,1
KDM18/026,KDM18/26T3,1,Tick,Haemaphysalis sp,0,0
KDM18/028,KDM18/28T3,1,Tick,Haemaphysalis sp,0,1
KDM18/029,KDM18/29T3,1,Tick,Haemaphysalis sp,0,0
KDM18/032,KDM18/32T3,1,Tick,Haemaphysalis sp,0,0
KDM18/036,KDM18/36T3,1,Tick,Haemaphysalis sp,0,0
KDM18/049,KDM18/49T3,2,Tick,Haemaphysalis sp,0,1
KDM18/060,KDM18/60T3,1,Tick,Haemaphysalis sp,0,0
KDM18/084,KDM18/84T3,1,Tick,Haemaphysalis sp,0,0
KDM18/092,KDM18/92T3,1,Tick,Haemaphysalis sp,0,0
KDMK21/040,KDMK21/40T3,1,Tick,Haemaphysalis sp,0,0
KDMK21/050,KDMK21/50T3,1,Tick,Haemaphysalis sp,0,0
KDMK21/062,KDMK21/62T3,5,Tick,Haemaphysalis sp,0,0
KDMK21/073,KDMK21/73T3,2,Tick,Haemaphysalis sp,0,0
KDMK21/077,KDMK21/77T3,2,Tick,Haemaphysalis sp,0,0
KDMK21/078,KDMK21/78T3,1,Tick,Haemaphysalis sp,0,0
KDMK21/092,KDMK21/92T3,11,Tick,Haemaphysalis sp,1,0
KDMK21/102,KDMK21/102T3,3,Tick,Haemaphysalis sp,0,0
KDMK21/107,KDMK21/107T3,1,Tick,Haemaphysalis sp,0,1
KDMK21/108,KDMK21/108T3,1,Tick,Haemaphysalis sp,0,0
KDM18/10,KDM18/10F1,3,Flea,Flea 1,1,0
KDM18/15,KDM18/15F1,1,Flea,Flea 1,0,0
KDM18/18,KDM18/18F1,1,Flea,Flea 1,0,0
KDM18/19,KDM18/19F1,2,Flea,Flea 1,0,0
KDM18/24,KDM18/24F1,5,Flea,Flea 1,0,1
KDM18/26,KDM18/26F1,1,Flea,Flea 1,1,0
KDM18/27,KDM18/27F1,13,Flea,Flea 1,0,1
KDM18/29,KDM18/29F1,1,Flea,Flea 1,0,0
KDM18/43,KDM18/43F1,1,Flea,Flea 1,0,0
KDM18/58,KDM18/58F1,1,Flea,Flea 1,0,0
KDM18/63,KDM18/63F1,1,Flea,Flea 1,0,0
KDM18/65,KDM18/65F1,1,Flea,Flea 1,0,0
KDM18/67,KDM18/67F1,2,Flea,Flea 1,0,0
KDM18/68,KDM18/68F1,2,Flea,Flea 1,0,0
KDMK21/001,KDMK21/01F1,1,Flea,Flea 1,1,1
KDMK21/039,KDMK21/39F1,1,Flea,Flea 1,0,0
KDMK21/094,KDMK21/94F1,1,Flea,Flea 1,0,0
KDMK21/107,KDMK21/107F1,2,Flea,Flea 1,0,0
KDMK21/117,KDMK21/117F1,1,Flea,Flea 1,0,0
KDMK21/121,KDMK21/121F1,1,Flea,Flea 1,0,0
KDMK21/118,KDMK21/118F2,1,Flea,Flea 2,0,0
KDM18/017,KDM18/17F3,3,Flea,Flea 3,0,0
KDM18/070,KDM18/70F3,1,Flea,Flea 3,0,0
KDM18/077,KDM18/77F3,1,Flea,Flea 3,0,0
KDM18/081,KDM18/81F3,1,Flea,Flea 3,1,0
KDM18/133,KDM18/133F3,1,Flea,Flea 3,0,0
KDMK21/117,KDMK21/117F3,3,Flea,Flea 3,0,0
KDMK21/121,KDMK21/121F4,3,Flea,Flea 4,0,0
KDMK21/091,KDMK21/91F5,2,Flea,Flea 5,1,0
